sequence_length_nt	plausible_v3v4_length_380_480nt	asv_count	total_reads	median_prevalence	asv_fraction	read_fraction	sensitivity_role
406	TRUE	174	17243	0.0238095238095238	0.0232464929859719	0.0203275897842161	broad_expected_v3v4_length_subset
407	TRUE	129	7309	0.0238095238095238	0.0172344689378758	0.00861650256526332	broad_expected_v3v4_length_subset
408	TRUE	196	32545	0.0238095238095238	0.026185704742819	0.0383669552587898	broad_expected_v3v4_length_subset
409	TRUE	16	231	0.0238095238095238	0.0021376085504342	0.000272323449524672	broad_expected_v3v4_length_subset
410	TRUE	245	20991	0.0238095238095238	0.0327321309285237	0.0247460672249887	broad_expected_v3v4_length_subset
411	TRUE	57	4783	0.0238095238095238	0.00761523046092184	0.00563862796137015	broad_expected_v3v4_length_subset
412	TRUE	38	2918	0.0238095238095238	0.00507682030728123	0.00343999924551079	broad_expected_v3v4_length_subset
413	TRUE	11	611	0.0238095238095238	0.00146960587842351	0.000720301418439716	broad_expected_v3v4_length_subset
414	TRUE	14	318	0.0238095238095238	0.00187040748162993	0.000374886826618379	broad_expected_v3v4_length_subset
415	TRUE	2	27	0.0238095238095238	0.000267201068804275	3.18300135808058e-05	broad_expected_v3v4_length_subset
416	TRUE	6	53	0.0238095238095238	0.000801603206412826	6.24811377697299e-05	broad_expected_v3v4_length_subset
417	TRUE	16	375	0.0238095238095238	0.0021376085504342	0.000442083521955636	broad_expected_v3v4_length_subset
418	TRUE	18	380	0.0238095238095238	0.00240480961923848	0.000447977968915045	broad_expected_v3v4_length_subset
419	TRUE	22	360	0.0238095238095238	0.00293921175684703	0.000424400181077411	broad_expected_v3v4_length_subset
420	TRUE	12	347	0.0238095238095238	0.00160320641282565	0.000409074618982949	broad_expected_v3v4_length_subset
421	TRUE	24	734	0.0238095238095238	0.0032064128256513	0.000865304813641165	broad_expected_v3v4_length_subset
422	TRUE	108	3499	0.0238095238095238	0.0144288577154309	0.00412493398219405	broad_expected_v3v4_length_subset
423	TRUE	50	1276	0.0238095238095238	0.00668002672010688	0.00150426286404104	broad_expected_v3v4_length_subset
424	TRUE	190	16763	0.0238095238095238	0.0253841015364061	0.0197617228761129	broad_expected_v3v4_length_subset
425	TRUE	608	33195	0.0238095238095238	0.0812291249164997	0.0391332333635129	broad_expected_v3v4_length_subset
426	TRUE	38	12649	0.0238095238095238	0.00507682030728123	0.0149117719179116	broad_expected_v3v4_length_subset
427	TRUE	23	738	0.0238095238095238	0.00307281229124916	0.000870020371208692	broad_expected_v3v4_length_subset
428	TRUE	95	793	0.0238095238095238	0.0126920507682031	0.000934859287762185	broad_expected_v3v4_length_subset
429	TRUE	578	5936	0.0238095238095238	0.0772211088844355	0.00699788743020975	broad_expected_v3v4_length_subset
